year,hires,terminations,net_change,net_change_percentage
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,197,891,81.89
2004,1087,200,887,81.60
2005,1038,186,852,82.08
2006,1069,180,889,83.16
2007,1058,149,909,85.92
2008,1061,145,916,86.33
2009,1094,152,942,86.11
2010,1050,134,916,87.24
2011,1057,117,940,88.93
2012,1059,111,948,89.52
2013,1042,95,947,90.88
2014,1014,90,924,91.12
2015,1011,87,924,91.39
2016,1076,71,1005,93.40
2017,1043,59,984,94.34
2018,1090,54,1036,95.05
2019,1038,53,985,94.89
2020,967,36,931,96.28
